year,id_,childs,educ,degree,partyid,polviews,gunlaw,owngun,ballot
2024,1892,2,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,YES,Ballot a
2024,1893,0,12th grade,High school,"Independent, close to republican",Slightly conservative,OPPOSE,YES,Ballot c
2024,1894,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1895,4,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1896,5,10th grade,High school,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1897,0,4 years of college,Bachelor's,"Independent, close to republican","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,1898,0,6 years of college,Graduate,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot a
2024,1899,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,1900,3,2 years of college,Associate/junior college,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1901,0,6 years of college,Graduate,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1902,0,6 years of college,Graduate,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,1903,0,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1904,0,4 years of college,High school,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot c
2024,1905,0,5 years of college,High school,Not very strong republican,Slightly conservative,OPPOSE,NO,Ballot a
2024,1906,4,3 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1907,0,4 years of college,Bachelor's,Not very strong democrat,Liberal,FAVOR,YES,Ballot c
2024,1908,0,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,YES,Ballot a
2024,1909,0,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1910,0,4 years of college,Bachelor's,"Independent (neither, no response)",Slightly liberal,FAVOR,NO,Ballot a
2024,1911,0,7th grade,Less than high school,"Independent, close to democrat",Slightly liberal,FAVOR,YES,Ballot c
2024,1912,0,3 years of college,High school,"Independent (neither, no response)",Extremely liberal,OPPOSE,NO,Ballot a
2024,1913,2,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1914,4,12th grade,High school,Strong republican,Slightly liberal,FAVOR,YES,Ballot c
2024,1915,0,2 years of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,1916,0,2 years of college,Associate/junior college,"Independent, close to republican",Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1917,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,1918,2,6th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1919,2,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1920,3,9th grade,Less than high school,"Independent, close to republican","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,1921,2,12th grade,High school,"Independent (neither, no response)",Conservative,OPPOSE,YES,Ballot a
2024,1922,3,4 years of college,Graduate,"Independent, close to republican",Extremely conservative,OPPOSE,REFUSED,Ballot a
2024,1923,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1924,3,12th grade,High school,Strong republican,Conservative,FAVOR,YES,Ballot c
2024,1925,2,7 years of college,Graduate,"Independent, close to republican","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1926,0,4 years of college,Bachelor's,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1927,4,12th grade,High school,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1928,2,3 years of college,Associate/junior college,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1929,1,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1930,0,12th grade,High school,Strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1931,2,8 or more years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1932,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,1933,1,2 years of college,Associate/junior college,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1934,2,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1935,2,12th grade,High school,Strong republican,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1936,2,2 years of college,Associate/junior college,"Independent, close to republican",Conservative,OPPOSE,YES,Ballot a
2024,1937,2,6 years of college,Graduate,Strong democrat,Liberal,FAVOR,YES,Ballot a
2024,1938,3,2 years of college,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1939,2,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1940,3,4 years of college,Bachelor's,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1941,0,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1942,2,10th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1943,4,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1944,0,4 years of college,Associate/junior college,Other party,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1945,0,12th grade,High school,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,1946,4,5 years of college,Associate/junior college,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,1947,2,12th grade,High school,Strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1948,1,12th grade,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1949,1,1 year of college,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1950,2,7 years of college,Graduate,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1951,3,6 years of college,Graduate,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1952,4,12th grade,High school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1953,0,5 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1954,1,12th grade,High school,Strong republican,Slightly conservative,FAVOR,YES,Ballot c
2024,1955,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1956,0,12th grade,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,1957,3,12th grade,High school,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,1958,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,1959,2,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,1960,2,3 years of college,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1961,2,1 year of college,High school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1962,4,7 years of college,Graduate,Strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,1963,4,4 years of college,Bachelor's,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,1964,2,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,YES,Ballot a
2024,1965,0,6 years of college,Graduate,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1966,0,6 years of college,Bachelor's,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1967,0,4 years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1968,1,2 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,1969,0,7 years of college,Graduate,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1970,0,2 years of college,High school,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1971,1,5 years of college,Associate/junior college,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1972,2,2 years of college,High school,"Independent (neither, no response)",Conservative,OPPOSE,YES,Ballot a
2024,1973,5,10th grade,Less than high school,"Independent, close to republican","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,1974,3,12th grade,High school,Strong republican,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1975,1,12th grade,High school,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1976,2,5 years of college,Bachelor's,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,1977,3,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1978,3,5 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,1979,0,4 years of college,Bachelor's,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1980,1,4 years of college,Bachelor's,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1981,1,4 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
2024,1982,2,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1983,0,7 years of college,Graduate,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,1984,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,1985,0,5 years of college,Associate/junior college,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1986,3,8 or more years of college,Bachelor's,"Independent, close to democrat",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1987,0,12th grade,High school,Strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,1988,4,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1989,5,4 years of college,Bachelor's,"Independent, close to democrat",Slightly conservative,FAVOR,NO,Ballot c
2024,1990,3,12th grade,High school,Strong republican,"Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,1991,1,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1992,2,1 year of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,1993,1,12th grade,High school,"Independent, close to republican",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1994,3,11th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1995,4,6 years of college,Graduate,Strong republican,Conservative,FAVOR,NO,Ballot c
2024,1996,2,3 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,1997,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,1998,0,6 years of college,Graduate,"Independent (neither, no response)",Slightly liberal,OPPOSE,NO,Ballot a
2024,1999,6,2 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,2000,2,4 years of college,High school,Not very strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2001,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2002,4,4 years of college,Bachelor's,"Independent (neither, no response)",Slightly conservative,OPPOSE,.s:  Skipped on Web,Ballot c
2024,2003,3,12th grade,High school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2004,0,No formal schooling,Less than high school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot c
2024,2005,2,9th grade,Less than high school,Not very strong democrat,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2006,0,2 years of college,High school,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2007,5,8th grade,Less than high school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2008,0,2 years of college,Associate/junior college,"Independent (neither, no response)",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2009,2,2 years of college,High school,Other party,Liberal,FAVOR,NO,Ballot a
2024,2010,2,6 years of college,Graduate,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2011,2,4 years of college,Bachelor's,Strong republican,Extremely conservative,FAVOR,YES,Ballot c
2024,2012,0,6 years of college,Graduate,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,2013,0,6 years of college,Graduate,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2014,2,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,2015,2,6 years of college,Associate/junior college,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,2016,1,12th grade,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2017,0,5 years of college,Bachelor's,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2018,2,2 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2019,0,2 years of college,High school,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2020,1,5 years of college,Bachelor's,Not very strong republican,Extremely conservative,FAVOR,NO,Ballot a
2024,2021,0,8 or more years of college,Graduate,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2022,0,6 years of college,High school,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2023,0,12th grade,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot c
2024,2024,1,4 years of college,Associate/junior college,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2025,4,12th grade,High school,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2026,0,6 years of college,Graduate,Not very strong republican,Conservative,OPPOSE,NO,Ballot c
2024,2027,1,12th grade,High school,Not very strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2028,3,12th grade,High school,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2029,3,2 years of college,Associate/junior college,Not very strong republican,Conservative,OPPOSE,REFUSED,Ballot a
2024,2030,6,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2031,1,8 or more years of college,High school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2032,0,12th grade,High school,"Independent (neither, no response)",Liberal,OPPOSE,YES,Ballot a
2024,2033,3,12th grade,Less than high school,Not very strong republican,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2034,3,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2035,3,3 years of college,High school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2036,6,1 year of college,High school,"Independent (neither, no response)",Conservative,OPPOSE,YES,Ballot a
2024,2037,0,1 year of college,High school,Not very strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,2038,2,12th grade,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2039,2,4 years of college,Bachelor's,Strong republican,Extremely conservative,OPPOSE,NO,Ballot a
2024,2040,2,12th grade,High school,"Independent (neither, no response)",Conservative,OPPOSE,NO,Ballot c
2024,2041,2,No formal schooling,Less than high school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2042,1,12th grade,High school,"Independent (neither, no response)",Slightly liberal,FAVOR,NO,Ballot c
2024,2043,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2044,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,2045,2,12th grade,High school,Strong democrat,Extremely conservative,FAVOR,NO,Ballot a
2024,2046,2,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2047,0,12th grade,High school,Other party,Slightly conservative,OPPOSE,NO,Ballot c
2024,2048,2,12th grade,Less than high school,"Independent (neither, no response)",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2049,2,12th grade,Less than high school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot c
2024,2050,1,2 years of college,Associate/junior college,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2051,1,12th grade,High school,Not very strong republican,Conservative,FAVOR,YES,Ballot c
2024,2052,2,1 year of college,High school,Strong republican,Conservative,OPPOSE,YES,Ballot a
2024,2053,4,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2054,4,4 years of college,Associate/junior college,Strong republican,Conservative,OPPOSE,.s:  Skipped on Web,Ballot c
2024,2055,2,12th grade,High school,Strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2056,0,5 years of college,Graduate,"Independent (neither, no response)",Slightly conservative,OPPOSE,YES,Ballot c
2024,2057,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,2058,3,11th grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2059,2,9th grade,High school,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2060,4,6 years of college,High school,Other party,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2061,1,5 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2062,0,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2063,3,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2064,1,10th grade,Less than high school,Strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2065,0,7 years of college,Graduate,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2066,2,8th grade,Less than high school,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot a
2024,2067,8 or more,2 years of college,High school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot a
2024,2068,0,4 years of college,Bachelor's,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2069,1,3 years of college,Associate/junior college,Strong republican,Conservative,FAVOR,NO,Ballot c
2024,2070,5,8th grade,Less than high school,"Independent (neither, no response)",Extremely conservative,FAVOR,YES,Ballot c
2024,2071,2,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot a
2024,2072,0,6 years of college,Graduate,"Independent, close to democrat","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2073,2,4 years of college,Bachelor's,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot c
2024,2074,0,12th grade,High school,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2075,2,4 years of college,Graduate,Not very strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2076,2,8 or more years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2077,2,12th grade,High school,"Independent, close to republican",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2078,1,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2079,0,7 years of college,Graduate,"Independent, close to republican",Slightly conservative,OPPOSE,NO,Ballot a
2024,2080,2,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2081,2,4 years of college,Bachelor's,Strong republican,Extremely conservative,FAVOR,YES,Ballot a
2024,2082,4,1 year of college,High school,Strong republican,Conservative,OPPOSE,.s:  Skipped on Web,Ballot a
2024,2083,0,12th grade,High school,Not very strong republican,Conservative,FAVOR,REFUSED,Ballot c
2024,2084,2,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2085,3,1 year of college,High school,Other party,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2086,0,12th grade,High school,Strong republican,Conservative,OPPOSE,NO,Ballot a
2024,2087,2,12th grade,High school,Strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2088,0,12th grade,High school,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2089,2,12th grade,High school,Other party,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2090,0,6 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2091,1,8 or more years of college,Graduate,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2092,2,5 years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2093,2,4 years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2094,1,7 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2095,2,8 or more years of college,Graduate,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,2096,0,2 years of college,Associate/junior college,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,2097,2,7 years of college,Graduate,Not very strong democrat,Slightly liberal,FAVOR,YES,Ballot a
2024,2098,2,7 years of college,Graduate,Strong republican,Conservative,FAVOR,YES,Ballot a
2024,2099,6,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2100,2,2 years of college,Associate/junior college,Strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2101,3,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2102,2,4 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,2103,2,4 years of college,Bachelor's,Strong republican,Conservative,OPPOSE,NO,Ballot c
2024,2104,0,7 years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2105,2,12th grade,High school,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2106,2,12th grade,High school,"Independent, close to republican","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2107,2,8 or more years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2108,2,2 years of college,High school,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot c
2024,2109,0,6 years of college,Graduate,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2110,2,12th grade,High school,Not very strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2111,2,5 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2112,4,2 years of college,High school,"Independent, close to republican",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2113,2,11th grade,Less than high school,Strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2114,4,6th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2115,0,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,2116,1,2 years of college,High school,"Independent (neither, no response)",Slightly conservative,FAVOR,NO,Ballot c
2024,2117,1,2 years of college,Associate/junior college,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2118,2,2 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2119,4,1 year of college,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot c
2024,2120,2,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,2121,1,12th grade,High school,Not very strong republican,Conservative,OPPOSE,YES,Ballot c
2024,2122,4,8th grade,Less than high school,"Independent, close to democrat",Conservative,FAVOR,NO,Ballot c
2024,2123,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,YES,Ballot c
2024,2124,0,12th grade,High school,.n:  No answer,.n:  No answer,OPPOSE,REFUSED,Ballot a
2024,2125,0,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",OPPOSE,YES,Ballot a
2024,2126,1,12th grade,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot a
2024,2127,0,.d:  Do not Know/Cannot Choose,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2128,0,3 years of college,High school,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2129,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,2130,0,5 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,OPPOSE,NO,Ballot c
2024,2131,2,11th grade,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot a
2024,2132,2,12th grade,High school,Strong republican,Extremely conservative,OPPOSE,YES,Ballot a
2024,2133,0,2 years of college,Associate/junior college,"Independent (neither, no response)",Slightly liberal,OPPOSE,NO,Ballot a
2024,2134,1,2 years of college,High school,"Independent, close to republican","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2135,1,3 years of college,Associate/junior college,Not very strong republican,Conservative,FAVOR,NO,Ballot a
2024,2136,0,No formal schooling,Less than high school,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,2137,3,5 years of college,Bachelor's,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2138,0,2 years of college,Graduate,Strong republican,Conservative,FAVOR,NO,Ballot a
2024,2139,5,12th grade,High school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot a
2024,2140,1,3 years of college,Associate/junior college,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2141,0,3 years of college,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
